"","ORI","year","department_name","total_pop","homs_sum","rape_sum","rob_sum","agg_ass_sum","violent_crime","months_reported","violent_per_100k","homs_per_100k","rape_per_100k","rob_per_100k","agg_ass_per_100k","State","US_State"
"37","TX22001",1981,"Arlington, Texas",167848,12,102,212,373,699,12,416.448215051713,7.14932558028693,60.7692674324389,126.304751918402,222.224870120585,"TX","Texas"
"38","TX22701",1981,"Austin, Texas",357607,39,263,669,574,1545,12,432.038522735852,10.905826787507,73.5444216695982,187.076874893389,160.511399385359,"TX","Texas"
"39","TX07102",1981,"El Paso, Texas",442677,35,205,871,2399,3510,12,792.903177711966,7.90644194299681,46.3091599518385,196.757455210006,541.930120607124,"TX","Texas"
"40","TX22012",1981,"Fort Worth, Texas",398482,113,435,2312,2086,4946,12,1241.21039344312,28.3576171571112,109.164278436667,580.20186608178,523.486631767558,"TX","Texas"
"41","TXHPD00",1981,"Houston",1621897,662,1289,9190,2556,13698.6666666667,9,844.607682649803,40.8575061589403,79.4953892468716,566.661549202364,157.593238041627,"TXHPD","Texas"
"42","TXSPD00",1981,"San Antonio",820591,185,376,1835,2255,4651,12,566.786620862281,22.5447269102391,45.8206341527021,223.619318271831,274.801941527509,"TXSPD","Texas"
"43","TX22001",1982,"Arlington, Texas",173821,7,67,191,342,607,12,349.209819296863,4.02713135927189,38.545400153031,109.883155660133,196.754132124427,"TX","Texas"
"44","TX22701",1982,"Austin, Texas",370331,57,235,635,605,1532,12,413.683974606501,15.3916361309207,63.4567454520416,171.468227072538,163.367365951001,"TX","Texas"
"45","TX07102",1982,"El Paso, Texas",458429,41,219,932,2730,3922,12,855.530518357259,8.94358777476992,47.7718468945027,203.303019660624,595.512064027363,"TX","Texas"
"46","TX22012",1982,"Fort Worth, Texas",412661,103,470,2233,2095,4901,12,1187.65766573531,24.959955023615,113.89494039902,541.122131725557,507.680638587121,"TX","Texas"
"47","TXHPD00",1982,"Houston",1679607,678,1270,12392,3461,17801,12,1059.83125814551,40.3665857548819,75.6129261190267,737.791638162975,206.060108108623,"TXHPD","Texas"
"48","TXSPD00",1982,"San Antonio",849791,190,400,2195,3120,5905,12,694.876740280846,22.3584387219916,47.0703973094561,258.29880523564,367.149099013758,"TXSPD","Texas"
"49","TX22001",1983,"Arlington, Texas",178871,7,75,186,317,585,12,327.05133867424,3.91343482174304,41.9296588043898,103.985553834887,177.222691213221,"TX","Texas"
"50","TX22701",1983,"Austin, Texas",381091,58,240,665,571,1534,12,402.528529931171,15.2194620182581,62.9770842134818,174.499004174856,149.832979524576,"TX","Texas"
"51","TX07102",1983,"El Paso, Texas",471749,33,177,865,3200,4275,12,906.202238902467,6.99524535293133,37.5199523475408,183.360219099564,678.326822102432,"TX","Texas"
"52","TX22012",1983,"Fort Worth, Texas",424651,112,454,2020,2518,5104,12,1201.92817160445,26.3745993769001,106.91132247422,475.684738761948,592.957510991379,"TX","Texas"
"53","TXHPD00",1983,"Houston",1728783,561,1179,10270,3909,15919,12,920.821178829269,32.45057361161,68.198264328143,594.059520483485,226.112820406031,"TXHPD","Texas"
"54","TXSPD00",1983,"San Antonio",874483,165,519,2403,2240,5327,12,609.159926493711,18.8682913218439,59.3493527032544,274.79093361449,256.151348854123,"TXSPD","Texas"
"55","TX22001",1984,"Arlington, Texas",191475,13,93,200,459,765,12,399.529964747356,6.78939809374592,48.5703094398747,104.452278365322,239.717978848414,"TX","Texas"
"56","TX22701",1984,"Austin, Texas",385237,59,264,768,557,1648,12,427.788608051667,15.3152474969954,68.5292430374029,199.35779792699,144.586319590278,"TX","Texas"
"57","TX07102",1984,"El Paso, Texas",465748,24,175,1050,2481,3730,12,800.862268866426,5.15300119377861,37.573967037969,225.443802227814,532.691498406864,"TX","Texas"
"58","TX22012",1984,"Fort Worth, Texas",420050,119,467,2080,2786,5452,12,1297.9407213427,28.329960718962,111.177240804666,495.179145339841,663.254374479229,"TX","Texas"
"59","TXHPD00",1984,"Houston",1805783,473,1269,9157,4256,15155,12,839.2481267129,26.1936234863214,70.2742245330696,507.093044956122,235.687233737387,"TXHPD","Texas"
